剧名,类型,播放量,点赞,差评,得分,采集日期
小爸妈未删减版,"家庭剧

/
言情剧

/
偶像剧",3055万,"24,894","9,405",7.3,2015-9-23 23:52:42
大舜,"历史剧

/
古装剧",1.40亿,"139,932","43,853",7.6,2015-9-23 23:52:43
小爸妈,"家庭剧

/
言情剧

/
偶像剧",2.14亿,"188,652","53,153",7.8,2015-9-23 23:52:46
英雄祭,"军旅剧
/
年代剧",1.80亿,"83,645","39,846",6.8,2015-9-23 23:52:47
大道通天,年代剧,2056万,"11,494","5,226",6.9,2015-9-23 23:52:47
校花的贴身高手,"青春剧
/
言情剧
/
网络剧
/
偶像剧",7.32亿,"2,307,299","495,465",8.2,2015-9-23 23:52:48
偏偏喜欢你,"军旅剧
/
年代剧
/
偶像剧",10.84亿,"657,714","153,606",8.1,2015-9-23 23:52:53
克拉恋人,"青春剧
/
言情剧
/
偶像剧",27.72亿,"5,281,583","932,548",8.5,2015-9-23 23:52:51
生死兄弟情,军旅剧,2640万,"5,235","4,576",5.3,2015-9-23 23:52:56
生死连,军旅剧,3.21亿,"73,745","28,058",7.2,2015-9-23 23:52:59
香火,家庭剧,8056万,"35,184","4,229",8.9,2015-9-23 23:53:00
wait酒吧,"喜剧

/
网络剧",373万,"2,123","4,358",3.3,2015/9/23 23:52:51
闪亮茗天,"言情剧
/
青春剧",5.42亿,"233,285","47,390",8.3,2015-9-23 23:53:01
偏偏喜欢你未删减版,"偶像剧
/
年代剧
/
军旅剧",3675万,"24,927","5,965",8.1,2015-9-23 23:52:53
爱情不打烊,言情剧,4043万,"18,415","6,453",7.4,2015-9-23 23:52:55
你是我的姐妹,言情剧,7.81亿,"419,879","140,862",7.5,2015-9-23 23:53:00
婚姻时差,"家庭剧
/
言情剧",1.03亿,"21,865","9,277",7.0,2015/9/23 23:53:04
绝地刀锋,"军旅剧

/
谍战剧",1.27亿,"23,392","8,242",7.4,2015-9-23 23:53:06
少年四大名捕陈伟霆cut集锦,"言情剧

/
武侠剧

/
古装剧

/
偶像剧

/
悬疑剧",349万,"4,625","1,531",7.5,2015-9-23 23:53:06
淑女涩男,青春剧,1.76亿,"64,907","8,550",8.8,2015-9-23 23:53:04
少年四大名捕杨洋特辑,"古装剧
/
偶像剧
/
悬疑剧",560万,"18,669",528,9.7,2015-9-23 23:53:08
少年四大名捕茅子俊cut集锦,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",300万,"1,865",910,6.7,2015-9-23 23:53:09
西游之妖怪别跑,"喜剧
/
网络剧",1037万,"14,304","5,425",7.3,2015-9-23 23:53:12
少年四大名捕,"言情剧
/
武侠剧
/
古装剧
/
偶像剧
/
悬疑剧",12.87亿,"920,402","119,924",8.8,2015-9-23 23:53:13
少年四大名捕未删减版,"悬疑剧
/
偶像剧
/
言情剧
/
武侠剧
/
古装剧",1.33亿,"50,026","5,233",9.1,2015-9-23 23:53:13
铁甲舰上的男人们,历史剧,4072万,"10,047","1,027",9.1,2015/9/23 23:53:17
特警力量未删减版,"罪案剧

/
军旅剧",5044万,"24,367","7,247",7.7,2015-9-23 23:53:14
南方怂人帮,"网络剧

/
喜剧",79.6万,498,476,5.1,2015-9-23 23:53:19
王大花的革命生涯,"谍战剧
/
喜剧",2.69亿,"62,986","19,671",7.6,2015-9-23 23:53:19
前夫求爱记未删减版,喜剧,1563万,"4,250","1,756",7.1,2015-9-23 23:53:17
妻子的谎言,言情剧,12.64亿,"548,835","114,805",8.3,2015-9-23 23:53:22
东北剿匪记,null,1.34亿,"19,103","7,234",7.3,2015-9-23 23:53:22
妻子的谎言未删减版,言情剧,1.04亿,"34,588","4,676",8.8,2015-9-23 23:53:25
办公室大爆炸,喜剧,412万,"2,877","2,000",5.9,2015-9-23 23:53:26
边关烽火情,null,7604万,"11,589","3,303",7.8,2015-9-23 23:53:26
锦绣缘华丽冒险,"言情剧
/
年代剧
/
偶像剧",11.44亿,"950,623","160,522",8.6,2015/9/23 23:53:30
婆媳的战国时代,"言情剧

/
家庭剧",2.03亿,"45,104","25,922",6.4,2015-9-23 23:53:27
隋唐英雄5TV版,古装剧,6807万,"36,520","7,742",8.3,2015-9-23 23:53:32
封神英雄,"神话剧
/
武侠剧
/
古装剧",7.74亿,"624,884","141,750",8.2,2015-9-23 23:53:32
律师岳家军,网络剧,535万,"1,587",783,6.7,2015-9-23 23:53:30
隋唐英雄5,古装剧,1.52亿,"97,280","20,499",8.3,2015-9-23 23:53:35
平凡的世界,农村剧,4.72亿,"273,966","48,945",8.5,2015-9-23 23:53:35
冤家亲家,家庭剧,2205万,"7,672","2,709",7.4,2015-9-23 23:53:38
敢爱,"青春剧

/
言情剧",2.08亿,"98,077","44,543",6.9,2015-9-23 23:53:39
兵变1929,"年代剧

/
谍战剧",5580万,"15,663","5,415",7.4,2015-9-23 23:53:39
信访局长,null,840万,"1,813","1,370",5.7,2015-9-23 23:53:40
泪洒女人花,"年代剧

/
言情剧",1.99亿,"61,190","38,247",6.2,2015-9-23 23:53:43
别叫我兄弟,"青春剧

/
言情剧

/
年代剧",1.70亿,"69,432","14,991",8.2,2015/9/23 23:53:43
陆小凤与花满楼,"武侠剧
/
古装剧",3.29亿,"131,648","26,316",8.3,2015-9-23 23:53:45
邻居也疯狂,"家庭剧

/
喜剧",1.02亿,"52,231","9,606",8.4,2015-9-23 23:53:45
爱你不放手,"家庭剧

/
言情剧",4222万,"13,099","5,651",7.0,2015-9-23 23:53:48
急诊室故事,null,6668万,"39,884","5,499",8.8,2015-9-23 23:53:48
青春正能量之我是女神,"青春剧

/
偶像剧",1.45亿,"84,367","12,574",8.7,2015-9-23 23:53:52
何以笙箫默精华版,"偶像剧
/
言情剧",1239万,"18,983","5,102",7.9,2015-9-23 23:53:51
何以笙箫默,"青春剧
/
言情剧
/
偶像剧",22.01亿,"2,091,735","221,521",9.0,2015-9-23 23:53:52
当人心遇上仁心,"家庭剧

/
言情剧",3761万,"10,006","3,778",7.3,2015-9-23 23:53:54
光影,"军旅剧

/
年代剧",1.67亿,"48,921","15,363",7.6,2015-9-23 23:53:56
伪装者,"谍战剧
/
悬疑剧",7.39亿,"1,002,256","101,102",9.1,2015-9-24 1:01:20
终极对决,军旅剧,8998万,"62,421","22,990",7.3,2015-9-24 1:01:20
地雷战,"军旅剧

/
历史剧",1.37亿,"91,553","23,670",7.9,2015-9-24 1:01:17
地下地上之大陆小岛,"谍战剧

/
军旅剧",2717万,"17,372","4,665",7.9,2015-9-24 1:01:24
伪装者未删减版,"谍战剧
/
悬疑剧",3340万,"36,633","5,165",8.8,2015-9-24 1:01:18
明若晓溪,"青春剧
/
言情剧
/
偶像剧",1.58亿,"521,777","71,938",8.8,2015-9-24 1:01:25
琅琊榜,"历史剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",1.31亿,"411,503","14,631",9.7,2015-9-24 1:01:24
多情江山,"言情剧
/
古装剧
/
宫廷剧",1158万,"23,134","7,143",7.6,2015-9-24 1:01:25
刺蝶,"军旅剧

/
谍战剧

/
悬疑剧",8302万,"43,800","17,293",7.2,2015-9-24 1:01:34
花千骨,"言情剧
/
古装剧
/
偶像剧",66.37亿,"8,303,365","1,761,041",8.3,2015-9-24 1:01:30
二胎时代,"家庭剧
/
言情剧",2.44亿,"329,422","54,896",8.6,2015-9-24 1:01:37
鸳鸯佩,"言情剧

/
年代剧",2.62亿,"257,122","96,770",7.3,2015-9-24 1:01:37
花千骨未删减版,"言情剧
/
古装剧
/
偶像剧",3.91亿,"256,703","84,706",7.5,2015-9-24 1:01:31
生死血符,年代剧,653万,"5,219","3,154",6.2,2015/9/24 1:01:38
二胎时代未删减版,"言情剧

/
家庭剧",2164万,"23,725","2,997",8.9,2015-9-24 1:01:38
历史永远铭记,"历史剧

/
年代剧

/
军旅剧",117万,"1,392",544,7.2,2015-9-24 1:01:36
最佳前男友,"言情剧
/
偶像剧",5.78亿,"599,525","96,367",8.6,2015-9-24 1:01:33
我的媳妇是女王,言情剧,2.27亿,"275,412","52,333",8.4,2015-9-24 1:01:39
少年神探狄仁杰,"古装剧
/
悬疑剧",3.85亿,"653,177","75,247",9.0,2015-9-24 1:01:47
校花的贴身高手,"青春剧
/
言情剧
/
网络剧
/
偶像剧",7.32亿,"2,307,811","495,378",8.2,2015-9-24 1:01:43
东北抗日联军,军旅剧,7910万,"26,733","12,396",6.8,2015-9-24 1:01:50
笑时代,"喜剧

/
粤语电视剧",118万,"1,980","2,853",4.1,2015-9-24 1:01:50
绝命追踪,悬疑剧,6466万,"73,444","2,680",9.6,2015-9-24 1:01:44
神犬小七未删减版,偶像剧,2403万,"63,342","7,299",9.0,2015/9/24 1:01:51
加油吧实习生,"青春剧
/
言情剧
/
偶像剧",16.12亿,"3,112,895","437,856",8.8,2015-9-24 1:01:51
神犬小七,偶像剧,4.97亿,"1,480,126","128,472",9.2,2015-9-24 1:01:49
冰与火的青春,"青春剧
/
言情剧
/
偶像剧",6.60亿,"784,779","195,734",8.0,2015-9-24 1:01:46
加油吧实习生未删减版,"偶像剧

/
言情剧

/
青春剧",7244万,"158,853","29,415",8.4,2015-9-24 1:01:52
闪亮茗天,"言情剧
/
青春剧",5.42亿,"233,413","47,280",8.3,2015-9-24 1:01:56
后海不是海,"家庭剧

/
言情剧",1.19亿,"29,774","12,248",7.1,2015-9-24 1:01:57
发明大师,"喜剧
/
网络剧
/
科幻剧",1.41亿,"20,564","3,030",8.7,2015-9-24 1:02:04
仙侠剑,"言情剧

/
武侠剧

/
古装剧",2.24亿,"151,048","80,522",6.5,2015-9-24 1:02:02
茗天闪亮,"青春剧

/
言情剧",2191万,"16,599","4,017",8.1,2015-9-24 1:01:59
两生花,"言情剧
/
偶像剧",6.73亿,"267,183","112,586",7.0,2015-9-24 1:02:05
怒放,军旅剧,9927万,"23,507","7,547",7.6,2015-9-24 1:02:00
国产大英雄,"喜剧

/
网络剧",496万,"3,348","2,610",5.6,2015-9-24 1:02:03
完美案件,"网络剧
/
悬疑剧",923万,"8,311","2,342",7.8,2015-9-24 1:02:10
妈妈向前冲,"家庭剧

/
言情剧",1.46亿,"68,712","37,292",6.5,2015/9/24 1:02:04
爱情公寓番外篇,网络剧,2.37亿,"199,145","27,474",8.8,2015-9-24 1:02:12
侯天明的梦,"青春剧

/
喜剧",1579万,"3,522","1,759",6.7,2015-9-24 1:02:13
特警力量未删减版,"罪案剧

/
军旅剧",5045万,"24,380","7,242",7.7,2015-9-24 1:02:09
爱你一生,"年代剧

/
言情剧",5207万,"10,015","4,166",7.1,2015-9-24 1:02:16
特警力量,"罪案剧
/
军旅剧",20.18亿,"639,694","73,565",9.0,2015-9-24 1:02:16
烧脑,"网络剧
/
偶像剧",324万,"1,714","1,421",5.5,2015/9/24 1:02:18
聊斋新编,"神话剧
/
古装剧",4.54亿,"151,492","40,055",7.9,2015-9-24 1:02:17
海上孟府,"年代剧

/
言情剧",1.29亿,"30,868","11,125",7.4,2015-9-24 1:02:15
虎妈猫爸,"喜剧
/
青春剧
/
家庭剧
/
言情剧
/
偶像剧",17.01亿,"563,271","134,380",8.1,2015-9-24 1:02:18
天使的城,言情剧,4.18亿,"206,646","28,479",8.8,2015-9-24 1:02:26
婆媳的战国时代,"言情剧

/
家庭剧",2.03亿,"45,115","25,930",6.4,2015-9-24 1:02:22
快乐00后第2季,网络剧,134万,"1,323",792,6.3,2015-9-24 1:02:29
寒冬,"谍战剧
/
年代剧",9641万,"29,751","4,567",8.7,2015-9-24 1:02:29
暖男的爱情与战争,家庭剧,3097万,"6,308","3,439",6.5,2015-9-24 1:02:23
我的抗战之铁血轻奇兵,军旅剧,1.05亿,"20,497","5,672",7.8,2015/9/24 1:02:31
嘿，老头！,null,2.75亿,"148,296","20,653",8.8,2015-9-24 1:02:30
于无声处,"罪案剧
/
年代剧",1.31亿,"29,923","8,634",7.8,2015-9-24 1:02:28
男神经,"喜剧
/
网络剧",1194万,"6,504","1,676",8.0,2015-9-24 1:02:25
麻雀春天,"悬疑剧

/
年代剧

/
言情剧",3783万,"7,431","3,468",6.8,2015-9-24 1:02:31
信访局长,null,840万,"1,813","1,370",5.7,2015-9-24 1:02:35
淑女之家,"家庭剧
/
言情剧
/
年代剧
/
悬疑剧",1.45亿,"122,075","16,210",8.8,2015-9-24 1:02:36
我的美女老师,"青春剧
/
偶像剧
/
科幻剧
/
言情剧
/
网络剧",2.21亿,"193,749","52,516",7.9,2015/9/24 1:02:44
快乐00后第1季,网络剧,115万,"1,121",573,6.6,2015-9-24 1:02:43
猜拳,"悬疑剧

/
谍战剧",6916万,"10,248","5,211",6.6,2015-9-24 1:02:41
嘿！真不是闹着玩的,"农村剧

/
喜剧",7236万,"41,996","8,129",8.4,2015-9-24 1:02:39
家有一老,家庭剧,6412万,"23,021","10,426",6.9,2015-9-24 1:02:44
石敢当之雄峙天东,"武侠剧
/
古装剧",3.81亿,"200,565","60,051",7.7,2015-9-24 1:02:39
好男儿之情感护理,null,3230万,"12,581","3,073",8.0,2015-9-24 1:02:42
活色生香陈伟霆cut集锦,"言情剧
/
年代剧
/
偶像剧",150万,"3,155",700,8.2,2015-9-24 1:02:42
李大白的道德经,"喜剧
/
网络剧",75.5万,550,371,6.0,2015-9-24 1:02:54
当人心遇上仁心,"家庭剧

/
言情剧",3761万,"9,993","3,790",7.3,2015-9-24 1:02:48
血刃,"军旅剧

/
谍战剧",7919万,"14,648","6,612",6.9,2015-9-24 1:02:49
白衣校花与大长腿2番外篇,"言情剧

/
偶像剧",1002万,"16,472","8,173",6.7,2015-9-24 1:02:52
我的青春道馆,"网络剧
/
喜剧",169万,"1,823",828,6.9,2015-9-24 1:02:52
成人记2,"偶像剧
/
网络剧
/
青春剧",390万,"4,785","1,679",7.4,2015-9-24 1:02:57
白衣校花与大长腿2,"青春剧
/
言情剧
/
偶像剧",2.05亿,"215,408","65,101",7.7,2015-9-24 1:02:55
东江英雄刘黑仔,"青春剧

/
谍战剧",1.46亿,"45,523","9,267",8.3,2015-9-24 1:02:56
活色生香,"青春剧
/
言情剧
/
年代剧
/
偶像剧",8.23亿,"1,051,691","113,592",9.0,2015/9/24 1:02:57
我是机器人,"偶像剧

/
喜剧",1678万,"38,383","3,505",9.2,2015-9-24 1:03:07
夺宝传奇,"年代剧

/
悬疑剧","1,325",13,4,7.6,2015-9-24 1:03:09
花千骨2015,"言情剧
/
穿越剧
/
网络剧",3.08亿,"996,317","357,042",7.4,2015-9-24 1:03:11
天局,"武侠剧
/
古装剧
/
悬疑剧
/
网络剧",3473万,"38,971","3,428",9.2,2015-9-24 1:03:14
还珠格格2015,"古装剧

/
喜剧

/
网络剧",76.7万,"2,473","7,703",2.4,2015-9-24 1:03:13
蜀山战纪第1季,"言情剧
/
武侠剧
/
古装剧
/
偶像剧",3358万,"248,181","28,607",9.0,2015-9-24 1:03:19
英雄戟之影子战士,"谍战剧

/
悬疑剧",1.20亿,"65,093","19,446",7.7,2015-9-24 1:03:21
南侨机工英雄传,年代剧,3920万,"26,820","7,484",7.8,2015-9-24 1:03:19
涩世纪传说,"青春剧
/
言情剧
/
网络剧
/
偶像剧
/
科幻剧",4.70亿,"1,604,052","131,333",9.2,2015-9-24 1:03:22
云中歌,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧
/
青春剧",2.55亿,"507,225","114,912",8.2,2015-9-24 1:03:23
春江英雄之秀才遇到兵,"言情剧
/
谍战剧",5.86亿,"711,398","97,449",8.8,2015-9-24 1:03:24
大汉情缘之云中歌未删减版,"言情剧
/
古装剧
/
偶像剧
/
宫廷剧",1364万,"23,272","3,479",8.7,2015-9-24 1:03:22
铁甲舰上的男人们DVD版,历史剧,90.6万,620,280,6.9,2015-9-24 1:03:26
冲出月亮岛,"言情剧

/
年代剧",3124万,"22,841","8,569",7.3,2015/9/24 1:03:25
克拉恋人,"青春剧
/
言情剧
/
偶像剧",27.72亿,"5,281,971","932,387",8.5,2015-9-24 1:03:27
学堂故事,"网络剧
/
喜剧",507万,"1,713","1,848",4.8,2015-9-24 1:03:34
克拉之恋,"青春剧

/
言情剧

/
偶像剧",7362万,"202,020","27,752",8.8,2015-9-24 1:03:32
马上天下,军旅剧,1.42亿,"34,511","14,464",7.0,2015-9-24 1:03:35
美剧,"喜剧
/
罪案剧",560万,"9,918","4,149",7.1,2015-9-24 1:03:33
红色青橄榄,"青春剧

/
网络剧

/
偶像剧

/
悬疑剧",1136万,"73,903",540,9.9,2015-9-24 1:03:36
我的天啊第2季,"网络剧

/
喜剧",342万,952,"2,898",2.5,2015-9-24 1:03:37
星空中的潘朵拉,"言情剧
/
偶像剧
/
网络剧",462万,"4,540","3,909",5.4,2015-9-24 1:03:36
错伏,谍战剧,2266万,"8,651","4,252",6.7,2015-9-24 1:03:39
太行山上,"历史剧

/
军旅剧",9506万,"60,972","17,834",7.7,2015/9/24 1:03:38
淑女涩男,青春剧,1.76亿,"64,891","8,568",8.8,2015-9-24 1:03:40
今天很上火之奇葩相亲,"喜剧

/
网络剧",546万,"2,383","2,348",5.0,2015-9-24 1:03:46
抉择,历史剧,2636万,"8,202","3,670",6.9,2015-9-24 1:03:49
剧场,言情剧,1532万,"4,195","2,085",6.7,2015-9-24 1:03:47
爸爸父亲爹,"军旅剧
/
谍战剧",1.34亿,"59,152","22,799",7.2,2015-9-24 1:03:45
劫中劫,谍战剧,8705万,"16,311","7,139",7.0,2015-9-24 1:03:48
玩的就是艳遇,"喜剧

/
青春剧

/
网络剧",509万,"7,684","5,871",5.7,2015-9-24 1:03:49
离婚协议,null,3926万,"8,594","4,884",6.4,2015-9-24 1:03:50
壮丁也是兵,军旅剧,2.25亿,"44,951","17,909",7.2,2015-9-24 1:03:52
前夫求爱记未删减版,喜剧,1563万,"4,251","1,756",7.1,2015-9-24 1:03:53
我的宝贝,"言情剧
/
偶像剧",3.18亿,"182,440","52,216",7.8,2015/9/24 1:03:51
聊斋新编未删减版,"神话剧

/
古装剧",4891万,"12,907","2,706",8.3,2015-9-24 1:04:00
空巢姥爷,"家庭剧

/
言情剧",3493万,"10,095","3,150",7.6,2015-9-24 1:03:58
坐88路车回家,言情剧,7898万,"16,245","4,711",7.8,2015-9-24 1:04:01
前夫求爱记,"喜剧
/
言情剧",1.91亿,"56,150","17,170",7.7,2015-9-24 1:03:59
女人的抗战未删减版,谍战剧,784万,"1,507","1,109",5.8,2015-9-24 1:04:03
待嫁老爸,"言情剧

/
家庭剧",1.25亿,"33,422","6,677",8.3,2015-9-24 1:04:02
二婶,"家庭剧
/
言情剧",9468万,"22,019","10,461",6.8,2015-9-24 1:04:02
律师岳家军,网络剧,535万,"1,587",783,6.7,2015-9-24 1:04:06
下一站婚姻,"家庭剧
/
言情剧",4.41亿,"116,070","38,875",7.5,2015-9-24 1:04:06
玩转APP,"喜剧

/
网络剧",1940万,413,348,5.4,2015/9/24 1:04:04
我的二哥二嫂,"农村剧

/
年代剧

/
家庭剧",2.37亿,"54,052","23,175",7.0,2015-9-24 1:04:13
傲魂之活死人,"网络剧

/
悬疑剧",3744万,"11,051","1,803",8.6,2015-9-24 1:04:11
铁核桃,"年代剧

/
谍战剧",2.45亿,"54,921","18,373",7.5,2015-9-24 1:04:14
末代皇帝传奇,"历史剧

/
宫廷剧",7790万,"24,757","4,509",8.5,2015-9-24 1:04:12
出关,null,4431万,"9,771","4,086",7.1,2015-9-24 1:04:16
女人的抗战,谍战剧,7469万,"12,157","3,338",7.8,2015-9-24 1:04:15
出关未删减版,null,509万,"1,007",552,6.5,2015-9-24 1:04:15
别让我看见,"悬疑剧

/
言情剧",5725万,"24,900","5,120",8.3,2015-9-24 1:04:19
婚前协议,"家庭剧

/
言情剧",1.46亿,"29,627","16,225",6.5,2015/9/24 1:04:17
泪洒女人花,"年代剧

/
言情剧",1.99亿,"61,190","38,249",6.2,2015-9-24 1:04:19
不能没有家,"家庭剧

/
言情剧",2764万,"7,207","3,574",6.7,2015-9-24 1:04:24
锦绣缘华丽冒险未删减版,"言情剧

/
年代剧

/
偶像剧",3191万,"18,034","4,444",8.0,2015-9-24 1:04:25
大村官之放飞梦想,农村剧,5245万,"16,650","6,246",7.3,2015-9-24 1:04:28
突围突围,言情剧,8071万,"19,940","7,553",7.3,2015/9/24 1:04:30
九星天辰诀,"古装剧
/
网络剧",2980万,"28,918","20,667",5.8,2015-9-24 1:04:29
活色生香未删减版,"偶像剧
/
年代剧
/
言情剧
/
青春剧",2.81亿,"61,589","11,465",8.4,2015-9-24 1:04:26
好大一个家,家庭剧,1.28亿,"60,089","11,847",8.4,2015-9-24 1:04:27
千金女贼未删减版,"年代剧

/
偶像剧",3956万,"31,415","8,089",8.0,2015-9-24 1:04:32
光影,"军旅剧

/
年代剧",1.67亿,"48,881","15,402",7.6,2015-9-24 1:04:32
千金女贼,"言情剧
/
年代剧
/
偶像剧",13.96亿,"976,114","154,939",8.6,2015-9-24 1:04:29
战魂,军旅剧,1.34亿,"39,010","9,259",8.1,2015-9-24 1:04:37
长大,"青春剧
/
言情剧",4.19亿,"386,149","52,063",8.8,2015-9-24 1:04:38
杀寇决,"悬疑剧

/
谍战剧

/
历史剧",1.23亿,"37,302","9,027",8.1,2015-9-24 1:04:41
猎魔,"军旅剧

/
历史剧

/
谍战剧",5756万,"11,791","6,944",6.3,2015/9/24 1:04:43
大刀记,军旅剧,2.68亿,"59,345","22,083",7.3,2015-9-24 1:04:42
二十四道拐,"谍战剧

/
军旅剧",3963万,"20,277","6,558",7.6,2015-9-24 1:04:53
卧底,"谍战剧

/
军旅剧",1.10亿,"65,503","19,780",7.7,2015-9-24 1:04:54
左手劈刀,军旅剧,2.71亿,"147,084","50,232",7.5,2015-9-24 1:04:56
嘻哈白蛇传,"喜剧
/
网络剧",1858万,"69,244","24,991",7.3,2015-9-24 1:04:59
男神执事团,"偶像剧
/
青春剧
/
网络剧",3933万,"221,461","15,488",9.3,2015-9-24 1:04:59
毕业歌,年代剧,3131万,"38,075","9,029",8.1,2015-9-24 1:05:04
冰与火的青春未删减版,"言情剧

/
偶像剧",331万,"2,978","1,336",6.9,2015-9-24 1:05:07
铁在烧,"军旅剧
/
言情剧
/
谍战剧",4.08亿,"282,710","67,968",8.1,2015-9-24 1:05:04
我的绝密生涯,"年代剧
/
谍战剧
/
悬疑剧",4920万,"25,450","7,291",7.8,2015-9-24 1:05:06
克拉恋人未删减版,"言情剧

/
偶像剧",1632万,"25,681","11,516",6.9,2015-9-24 1:05:09
少年四大名捕冷血张翰特辑,"古装剧
/
偶像剧
/
悬疑剧",805万,"8,863","1,536",8.5,2015-9-24 1:05:07
致匆匆那些年,"言情剧

/
青春剧

/
网络剧",614万,"25,038","2,381",9.1,2015/9/24 1:05:09
仙侠剑未删减版,"言情剧

/
武侠剧

/
古装剧",587万,"4,026","2,310",6.4,2015-9-24 1:05:12
美剧,"罪案剧
/
悬疑剧",223万,"4,156","1,612",7.2,2015-9-24 1:05:13
彩虹营业厅,"喜剧

/
网络剧",176万,"4,534","2,209",6.7,2015-9-24 1:05:12
火线英雄,军旅剧,2747万,"15,310","4,369",7.8,2015-9-24 1:05:20
大舜,"历史剧

/
古装剧",1.40亿,"139,927","43,864",7.6,2015-9-24 1:05:17
罗龙镇女人,年代剧,2.67亿,"76,294","27,657",7.3,2015-9-24 1:05:19
小爸妈未删减版,"家庭剧

/
言情剧

/
偶像剧",3055万,"24,911","9,388",7.3,2015-9-24 1:05:17
wait酒吧,"喜剧

/
网络剧",373万,"2,124","4,358",3.3,2015-9-24 1:05:22
小爸妈,"家庭剧

/
言情剧

/
偶像剧",2.14亿,"188,719","53,104",7.8,2015-9-24 1:05:21
英雄祭,"军旅剧
/
年代剧",1.80亿,"83,615","39,885",6.8,2015/9/24 1:05:22
偏偏喜欢你,"军旅剧
/
年代剧
/
偶像剧",10.84亿,"657,436","153,893",8.1,2015-9-24 1:05:25
偏偏喜欢你未删减版,"偶像剧
/
年代剧
/
军旅剧",3675万,"24,928","5,967",8.1,2015-9-24 1:05:26
大道通天,年代剧,2057万,"11,502","5,221",6.9,2015-9-24 1:05:25
爱情不打烊,言情剧,4043万,"18,364","6,507",7.4,2015-9-24 1:05:30
生死兄弟情,军旅剧,2640万,"5,235","4,576",5.3,2015-9-24 1:05:30
生死连,军旅剧,3.21亿,"73,767","28,039",7.2,2015-9-24 1:05:34
刑警队长,罪案剧,2.79亿,"77,245","16,321",8.3,2015-9-24 1:05:32
抓住彩虹的男人,"言情剧
/
偶像剧
/
悬疑剧",5.95亿,"251,890","66,153",7.9,2015-9-24 1:05:33
婚姻时差,"家庭剧
/
言情剧",1.03亿,"21,871","9,273",7.0,2015-9-24 1:05:35
你是我的姐妹,言情剧,7.81亿,"419,829","140,933",7.5,2015/9/24 1:05:35
绝地刀锋,"军旅剧

/
谍战剧",1.27亿,"23,412","8,221",7.4,2015-9-24 1:05:38
少年四大名捕陈伟霆cut集锦,"言情剧

/
武侠剧

/
古装剧

/
偶像剧

/
悬疑剧",349万,"4,625","1,531",7.5,2015-9-24 1:05:39
香火,家庭剧,8056万,"35,185","4,231",8.9,2015-9-24 1:05:38
